movieId,tag,likes
60756,funny,50
60756,Highly quotable,50
60756,will ferrell,50
89774,Boxing story,120
89774,MMA,120
89774,Tom Hardy,120
106782,drugs,90
106782,Leonardo DiCaprio,90
106782,Martin Scorsese,90
48516,way too long,67
431,Al Pacino,390
431,gangster,390
431,mafia,390
1221,Al Pacino,280
1221,Mafia,280
5995,holocaust,130
5995,true story,130
44665,twist ending,40
52604,Anthony Hopkins,120
52604,courtroom drama,120
52604,twist ending,120
88094,britpop,30
88094,indie record label,30
88094,music,30
144210,dumpster diving,340
144210,Sustainability,340
1569,romantic comedy,200
1569,wedding,200
118985,painter,40
119141,bloody,45
109487,black hole,90
109487,sci-fi,90
109487,time-travel,90
2,fantasy,79
2,magic board game,79
2,Robin Williams,79
110,beautiful scenery,290
110,epic,290
110,historical,290
